"SampleID","bamReads","Condition","Replicate","Peaks","PeakCaller","ControlID","bamControl"
"SRR5800657","/home/geb_mercury/ATAC_seq_project/results/../bam_output/SRR5800657.sort.bam","untreated",1,"/home/geb_mercury/ATAC_seq_project/results/peak_files/SRR5800657_SRR2927084.macs3.peak_peaks.narrowPeak","narrow","SRR2927084","/home/geb_mercury/ATAC_seq_project/results/../bam_output/SRR2927084.sort.bam"
"SRR5800658","/home/geb_mercury/ATAC_seq_project/results/../bam_output/SRR5800658.sort.bam","untreated",2,"/home/geb_mercury/ATAC_seq_project/results/peak_files/SRR5800658_SRR2927084.macs3.peak_peaks.narrowPeak","narrow","SRR2927084","/home/geb_mercury/ATAC_seq_project/results/../bam_output/SRR2927084.sort.bam"
"SRR5800659","/home/geb_mercury/ATAC_seq_project/results/../bam_output/SRR5800659.sort.bam","untreated",3,"/home/geb_mercury/ATAC_seq_project/results/peak_files/SRR5800659_SRR2927084.macs3.peak_peaks.narrowPeak","narrow","SRR2927084","/home/geb_mercury/ATAC_seq_project/results/../bam_output/SRR2927084.sort.bam"
"SRR5800660","/home/geb_mercury/ATAC_seq_project/results/../bam_output/SRR5800660.sort.bam","treated",1,"/home/geb_mercury/ATAC_seq_project/results/peak_files/SRR5800660_SRR2927085.macs3.peak_peaks.narrowPeak","narrow","SRR2927085","/home/geb_mercury/ATAC_seq_project/results/../bam_output/SRR2927085.sort.bam"
"SRR5800661","/home/geb_mercury/ATAC_seq_project/results/../bam_output/SRR5800661.sort.bam","treated",2,"/home/geb_mercury/ATAC_seq_project/results/peak_files/SRR5800661_SRR2927085.macs3.peak_peaks.narrowPeak","narrow","SRR2927085","/home/geb_mercury/ATAC_seq_project/results/../bam_output/SRR2927085.sort.bam"
"SRR5800662","/home/geb_mercury/ATAC_seq_project/results/../bam_output/SRR5800662.sort.bam","treated",3,"/home/geb_mercury/ATAC_seq_project/results/peak_files/SRR5800662_SRR2927085.macs3.peak_peaks.narrowPeak","narrow","SRR2927085","/home/geb_mercury/ATAC_seq_project/results/../bam_output/SRR2927085.sort.bam"
