peak_id,SRR5800657,SRR5800660
peak3182,12,1
peak3183,42,43
peak3184,146,129
peak3185,308,230
peak3186,322,269
peak3187,19,3
peak3188,10,77
peak3189,51,174
peak3190,121,123
peak3191,210,243
peak3192,297,232
peak3193,31,13
peak3194,155,196
peak3195,60,56
peak3196,7,21
peak3197,185,153
peak3198,9,83
peak3199,76,194
peak3200,47,58
peak3201,28,62
peak3202,49,120
peak3203,10,0
peak3204,17,6
peak3205,52,75
peak3206,50,91
peak3207,158,193
peak3208,2,21
peak3209,25,59
peak3210,17,5
peak3211,30,85
peak3212,48,84
peak3213,0,12
peak3214,36,73
peak3215,13,37
peak3216,44,102
peak3217,55,71
peak3218,90,111
peak3219,103,89
peak3220,20,20
peak3221,25,10
peak3222,92,83
peak3223,126,2
peak3224,14,39
peak3225,123,199
peak3226,28,86
peak3227,3,14
peak3228,129696,82084
peak3229,479,279
peak3230,213,207
peak3231,139,89
peak3232,9,5
peak3233,109,110
peak3234,85,111
peak3235,21,35
peak3236,54,182
peak3237,113,197
peak3238,635,754
peak3239,76,41
peak3240,149,157
peak3241,28,26
peak3242,195,195
peak3243,7,44
peak3244,8,37
peak3245,207,172
peak3246,79,76
peak3247,6,3
peak3248,11,5
peak3249,8,4
peak3250,4,1
peak3251,3,4
peak3252,17,11
peak3253,1,2
peak3254,21,22
peak3255,17,104
peak3256,27,31
peak3257,103,92
peak3258,57,69
peak3259,121,199
peak3260,36,72
peak3261,147,142
peak3262,53,95
peak3263,76,226
peak3264,80,80
peak3265,59,59
peak3266,72,111
peak3267,72,50
peak3268,53,102
peak3269,275,354
peak3270,140,203
peak3271,78,52
peak3272,183,199
peak3273,50,95
peak3274,38,42
peak3275,172,234
peak3276,7,1
peak3277,45,33
peak3278,44,81
peak3279,29,20
peak3280,9,25
peak3281,42,19
peak3282,23,97
peak3283,27,27
peak3284,83,49
peak3285,36,29
peak3286,149,272
peak3287,5,30
peak3288,108,170
peak3289,5,36
peak3290,77,27
peak3291,24,6
peak3292,30,85
peak3293,43,11
peak3294,60,43
peak3295,16,38
peak3296,49,111
peak3297,20,40
peak3298,64,20
peak3299,49,47
peak3300,11,60
peak3301,92,39
peak3302,7,41
peak3303,24,60
peak3304,39,51
peak3305,46,36
peak3306,68,56
peak3307,91,121
peak3308,104,110
peak3309,18,27
peak3310,27,124
peak3311,22,13
peak3312,69,48
peak3313,2,58
peak3314,38,116
peak3315,2,64
peak3316,8,83
peak3317,24,43
peak3318,36,99
peak3319,53,44
peak3320,107,131
peak3321,81,107
peak3322,51,48
peak3323,10,32
peak3324,1,48
peak3325,28,74
peak3326,0,17
peak3327,16,120
peak3328,3,27
peak3329,15,11
peak3330,168,160
peak3331,41,39
peak3332,68,78
peak3333,50,77
peak3334,40,121
peak3335,34,16
peak3336,87,155
peak3337,118,194
peak3338,89,176
peak3339,89,89
peak3340,63,122
peak3341,199,289
peak3342,2,25
peak3343,107,38
peak3344,92,119
peak3345,82,126
peak3346,66,66
peak3347,26,83
peak3348,144,162
peak3349,105,102
peak3350,118,110
peak3351,43,93
peak3352,19,52
peak3353,18,37
peak3354,83,195
peak3355,58,21
peak3356,45,102
peak3357,1,49
peak3358,74,46
peak3359,32,65
peak3360,119,167
peak3361,30,74
peak3362,84,66
peak3363,34,80
peak3364,86,105
peak3365,0,59
peak3366,6,63
peak3367,38,103
peak3368,32,46
peak3369,33,99
peak3370,0,20
peak3371,10,5
peak3372,20,37
peak3373,22,20
peak3374,25,40
peak3375,8,42
peak3376,26,79
peak3377,52,107
peak3378,155,122
peak3379,375,305
peak3380,38,109
peak3381,35,68
peak3382,121,176
peak3383,49,135
peak3384,2,49
peak3385,16,27
peak3386,41,45
peak3387,83,87
peak3388,45,70
peak3389,38,30
peak3390,149,222
peak3391,82,97
peak3392,32,137
peak3393,77,122
peak3394,376,351
peak3395,35,103
peak3396,18,53
peak3397,118,171
peak3398,89,71
peak3399,59,90
peak3400,83,46
peak3401,233,190
peak3402,180,197
peak3403,177,247
peak3404,148,81
peak3405,143,218
peak3406,61,99
peak3407,13,65
peak3408,22,70
peak3409,207,181
peak3410,152,237
peak3411,61,79
peak3412,119,126
peak3413,291,200
peak3414,130,104
peak3415,39,23
peak3416,176,94
peak3417,320,173
peak3418,21,39
peak3419,30,45
peak3420,75,172
peak3421,114,79
peak3422,166,126
peak3423,127,114
peak3424,52,41
peak3425,214,305
peak3426,34,130
peak3427,37,18
peak3428,89,61
peak3429,31,83
peak3430,7,46
peak3431,53,117
peak3432,30,51
peak3433,117,192
peak3434,6,189
peak3435,73,135
peak3436,28,24
peak3437,55,34
peak3438,35,40
peak3439,14,11
peak3440,166,182
peak3441,133,108
peak3442,34,86
peak3443,218,126
peak3444,304,365
peak3445,203,174
peak3446,50,39
peak3447,67,21
peak3448,67,87
peak3449,43,62
peak3450,33,50
peak3451,113,295
peak3452,56,78
peak3453,41,29
peak3454,42,56
peak3455,45,48
peak3456,163,133
peak3457,0,39
peak3458,60,106
peak3459,50,248
peak3460,38,78
peak3461,21,10
peak3462,88,90
peak3463,76,70
peak3464,58,110
peak3465,34,111
peak3466,17,40
peak3467,40,40
peak3468,6,29
peak3469,21,18
peak3470,60,99
peak3471,6,26
peak3472,79,99
peak3473,221,278
peak3474,40,12
peak3475,99,200
peak3476,95,132
peak3477,51,74
peak3478,89,121
peak3479,26,80
peak3480,133,266
peak3481,45,62
peak3482,20,29
peak3483,26,60
peak3484,607,699
peak3485,200,346
peak3486,82,114
peak3487,169,141
peak3488,136,241
peak3489,31,5
peak3490,64,98
peak3491,45,87
peak3492,92,37
peak3493,161,297
peak3494,368,465
peak3495,18,75
peak3496,167,227
peak3497,26,18
peak3498,100,117
peak3499,15,77
peak3500,105,189
peak3501,10,18
peak3502,70,118
peak3503,145,166
peak3504,31,47
peak3505,80,5
peak3506,19,45
peak3507,356,555
peak3508,26,21
peak3509,82,116
peak3510,171,253
peak3511,60,76
peak3512,33,33
peak3513,313,512
peak3514,50,61
peak3515,109,255
peak3516,179,167
peak3517,131,136
peak3518,20,99
peak3519,4,29
peak3520,228,301
peak3521,14,49
peak3522,2,23
peak3523,9,18
peak3524,13,41
peak3525,74,65
peak3526,22,108
peak3527,27,65
peak3528,3,11
peak3529,40,25
peak3530,52,33
peak3531,24,112
peak3532,87,63
peak3533,37,45
peak3534,15,65
peak3535,17,17
peak3536,3,29
peak3537,4,22
peak3538,61,70
peak3539,23,64
peak3540,24,30
peak3541,106,138
peak3542,83,127
peak3543,69,39
peak3544,145,158
peak3545,405,683
peak3546,41,33
peak3547,57,35
peak3548,336,337
peak3549,78,56
peak3550,47,61
peak3551,95,159
peak3552,519,716
peak3553,400,305
peak3554,125,216
peak3555,86,114
peak3556,235,426
peak3557,260,416
peak3558,15,1
peak3559,61,100
peak3560,128,168
peak3561,10,1
peak3562,37,32
peak3563,63,114
peak3564,134,57
peak3565,18,26
peak3566,536,560
peak3567,115,133
peak3568,61,68
peak3569,36,45
peak3570,47,51
peak3571,57,56
peak3572,509,429
peak3573,100,119
peak3574,484,687
peak3575,599,316
peak3576,89,29
peak3577,77,49
peak3578,67,107
peak3579,18,33
peak3580,6,38
peak3581,23,38
peak3582,33,20
peak3583,245,352
peak3584,154,153
peak3585,441,417
peak3586,1,22
peak3587,352,410
peak3588,249,340
peak3589,90,127
peak3590,58,80
peak3591,52,232
peak3592,223,297
peak3593,164,119
peak3594,257,405
peak3595,285,367
peak3596,6,49
peak3597,61,61
peak3598,63,107
peak3599,219,236
peak3600,121,312
peak3601,130,189
peak3602,31,29
peak3603,23,88
peak3604,30,58
peak3605,38,79
peak3606,3,23
peak3607,41,125
peak3608,236,310
peak3609,339,243
peak3610,145,171
peak3611,338,295
peak3612,261,443
peak3613,29,80
peak3614,67,35
peak3615,244,665
peak3616,136,93
peak3617,42,143
peak3618,194,251
peak3619,130,122
peak3620,368,528
peak3621,95,171
peak3622,680,860
peak3623,232,163
peak3624,6,9
peak3625,84,43
peak3626,50,114
peak3627,11,4
peak3628,16,52
peak3629,47,50
peak3630,32,15
peak3631,9,5
peak3632,264,369
peak3633,56,55
peak3634,31,58
peak3635,25,48
peak3636,29,52
peak3637,29,37
peak3638,11,22
peak3639,22,32
peak3640,8,11
peak3641,6,2
peak3642,2,8
peak3643,7,1
peak3644,7,8
peak3645,39,64
peak3646,93,110
peak3647,98,107
peak3648,27,59
peak3649,133,177
peak3650,10,19
peak3651,82,160
peak3652,5,2
peak3653,1,6
peak3654,2,6
peak3655,2,0
peak3656,3,2
peak3657,3,1
peak3658,9,7
peak3659,1,14
peak3660,3,4
peak3661,0,3
peak3662,7,27
peak3663,2,2
peak3664,1,4
peak3665,6,2
peak3666,2,4
peak3667,5,3
peak3668,4,9
peak3669,4,2
peak3670,1,7
peak3671,5,13
peak3672,2,2
peak3673,8,5
peak3674,3,11
peak3675,0,7
peak3676,6,6
peak3677,9,0
peak3678,2,3
peak3679,1,6
peak3680,13,34
peak3681,0,21
peak3682,5,36
peak3683,46,50
peak3684,30,50
peak3685,12,53
peak3686,25,63
peak3687,3,18
peak3688,8,50
peak3689,15,27
peak3690,35,13
peak3691,84,135
peak3692,52,142
peak3693,36,60
peak3694,21,44
peak3695,100,99
peak3696,26,18
peak3697,117,134
peak3698,111,47
peak3699,70,38
peak3700,19,14
peak3701,46,50
peak3702,57,93
peak3703,10,2
peak3704,59,149
peak3705,33,12
peak3706,94,121
peak3707,24,32
peak3708,14,44
peak3709,35,9
peak3710,99,119
peak3711,156,284
peak3712,54,84
peak3713,45,58
peak3714,207,192
peak3715,35,34
peak3716,53,17
peak3717,10,9
peak3718,7,37
peak3719,17,14
peak3720,31,70
peak3721,17,37
peak3722,47,33
peak3723,41,106
peak3724,19,30
peak3725,50,32
peak3726,19,34
peak3727,34,73
peak3728,65,115
peak3729,42,51
peak3730,78,31
peak3731,106,141
peak3732,141,194
peak3733,149,140
peak3734,19,6
peak3735,44,102
peak3736,50,88
peak3737,40,37
peak3738,12,37
peak3739,45,45
peak3740,88,87
peak3741,32,6
peak3742,88,111
peak3743,135,175
peak3744,34,53
peak3745,56,77
peak3746,27,22
peak3747,19,13
peak3748,26,16
peak3749,14,44
peak3750,30,66
peak3751,0,26
peak3752,18,24
peak3753,6,60
peak3754,60,91
peak3755,26,15
peak3756,24,56
peak3757,30,50
peak3758,19,20
peak3759,90,125
peak3760,3,19
peak3761,96,59
peak3762,70,57
peak3763,18,20
peak3764,109,115
peak3765,160,151
peak3766,38,76
peak3767,4,61
peak3768,14,79
peak3769,59,74
peak3770,66,61
peak3771,44,75
peak3772,34,45
peak3773,20,14
peak3774,22,16
peak3775,12,27
peak3776,27,16
peak3777,37,70
peak3778,56,77
peak3779,91,103
peak3780,26,53
peak3781,83,120
peak3782,108,114
peak3783,4,28
peak3784,79,88
peak3785,60,91
peak3786,71,53
peak3787,41,61
peak3788,30,59
peak3789,39,49
peak3790,9,29
peak3791,93,132
peak3792,63,60
peak3793,78,85
peak3794,60,36
peak3795,29,25
peak3796,16,4
peak3797,23,36
peak3798,23,53
peak3799,125,128
peak3800,24,0
peak3801,66,87
peak3802,35,7
peak3803,38,64
peak3804,47,56
peak3805,25,48
peak3806,55,35
peak3807,45,90
peak3808,41,42
peak3809,16,25
peak3810,43,33
peak3811,58,98
peak3812,18,66
peak3813,30,34
peak3814,49,27
peak3815,38,22
peak3816,37,39
peak3817,47,69
peak3818,116,175
peak3819,138,173
peak3820,153,72
peak3821,39,39
peak3822,87,165
peak3823,10,55
peak3824,5,23
peak3825,49,74
peak3826,39,41
peak3827,15,11
peak3828,25,15
peak3829,14,34
peak3830,20,18
peak3831,25,18
peak3832,129,64
peak3833,18,9
peak3834,39,8
peak3835,104,98
peak3836,53,39
peak3837,59,63
peak3838,60,47
peak3839,43,21
peak3840,26,40
peak3841,15,18
peak3842,35,14
peak3843,114,166
peak3844,82,35
peak3845,30,29
peak3846,50,6
peak3847,105,69
peak3848,96,78
peak3849,187,196
peak3850,135,104
peak3851,85,100
peak3852,26,52
peak3853,53,39
peak3854,76,164
peak3855,25,89
peak3856,25,62
peak3857,70,66
peak3858,38,46
peak3859,55,27
peak3860,49,95
peak3861,7,40
peak3862,53,69
peak3863,18,97
peak3864,78,84
peak3865,64,34
peak3866,25,37
peak3867,55,69
peak3868,76,102
peak3869,43,170
peak3870,97,111
peak3871,52,54
peak3872,42,32
peak3873,91,98
peak3874,2,27
peak3875,12,37
peak3876,70,78
peak3877,99,92
peak3878,77,96
peak3879,120,60
peak3880,79,50
peak3881,77,51
peak3882,45,41
peak3883,46,51
peak3884,89,137
peak3885,7,48
peak3886,70,102
peak3887,80,114
peak3888,88,17
peak3889,73,88
peak3890,257,213
peak3891,68,61
peak3892,86,121
peak3893,41,27
peak3894,94,61
peak3895,60,83
peak3896,10,83
peak3897,159,116
peak3898,34,46
peak3899,82,109
peak3900,129,118
peak3901,17,28
peak3902,10,31
peak3903,63,95
peak3904,180,223
peak3905,102,296
peak3906,1,30
peak3907,0,32
peak3908,2,100
peak3909,83,103
peak3910,74,166
peak3911,82,218
peak3912,17,63
peak3913,33,84
peak3914,44,39
peak3915,17,92
peak3916,191,270
peak3917,27,22
peak3918,55,92
peak3919,29,75
peak3920,58,4
peak3921,0,5
peak3922,13,0
peak3923,63,75
peak3924,0,21
peak3925,24,50
peak3926,114,127
peak3927,0,26
peak3928,21,27
peak3929,96,102
peak3930,33,74
peak3931,26,72
peak3932,18,0
peak3933,149,203
peak3934,4,115
peak3935,130,148
peak3936,5,29
peak3937,377,535
peak3938,34,96
peak3939,222,236
peak3940,49,229
peak3941,71,39
peak3942,195,280
peak3943,67,69
peak3944,132,200
peak3945,38,57
peak3946,258,318
peak3947,24,20
peak3948,52,68
peak3949,124,50
peak3950,95,65
peak3951,169,200
peak3952,316,245
peak3953,31,19
peak3954,41,39
peak3955,71,143
peak3956,91,95
peak3957,35,23
peak3958,43,71
peak3959,131,170
peak3960,252,297
peak3961,51,143
peak3962,61,94
peak3963,24,64
peak3964,2,49
peak3965,0,17
peak3966,47,26
peak3967,10,55
peak3968,4,27
peak3969,6,19
peak3970,3,37
peak3971,18,58
peak3972,51,174
peak3973,4,5
peak3974,6,9
peak3975,11,18
peak3976,64,82
peak3977,29,101
peak3978,10,77
peak3979,2,22
peak3980,69,90
peak3981,39,45
peak3982,16,9
peak3983,125,87
peak3984,27,27
peak3985,78,92
peak3986,36,18
peak3987,18,38
peak3988,9,4
peak3989,22,28
peak3990,54,62
peak3991,75,81
peak3992,112,159
peak3993,44,19
peak3994,195,170
peak3995,120,118
peak3996,74,85
peak3997,87,93
peak3998,81,107
peak3999,25,36
peak4000,6,1
peak4001,112,107
peak4002,16,12
peak4003,28,36
peak4004,72,52
peak4005,44,139
peak4006,15,46
peak4007,99,150
peak4008,94,156
peak4009,17,11
peak4010,90,75
peak4011,49,40
peak4012,26,62
peak4013,63,74
peak4014,15,38
peak4015,133,180
peak4016,134,160
peak4017,7,9
peak4018,63,103
peak4019,31,24
peak4020,195,228
peak4021,54,39
peak4022,26,22
peak4023,35,57
peak4024,220,270
peak4025,66,75
peak4026,17,39
peak4027,35,47
peak4028,62,86
peak4029,25,46
peak4030,40,56
peak4031,21,20
peak4032,96,146
peak4033,95,115
peak4034,46,52
peak4035,27,48
peak4036,44,48
peak4037,63,72
peak4038,57,74
peak4039,169,222
peak4040,68,66
peak4041,152,169
peak4042,57,70
peak4043,62,28
peak4044,35,32
peak4045,52,67
peak4046,106,62
peak4047,52,94
peak4048,79,104
peak4049,29,21
peak4050,29,56
peak4051,13,61
peak4052,51,51
peak4053,45,90
peak4054,16,19
peak4055,27,79
peak4056,59,57
peak4057,62,39
peak4058,112,33
peak4059,88,199
peak4060,91,171
peak4061,20,60
peak4062,0,12
peak4063,5,25
peak4064,17,48
peak4065,111,100
peak4066,36,78
peak4067,60,67
peak4068,73,105
peak4069,23,96
peak4070,84,133
peak4071,0,18
peak4072,102,104
peak4073,86,83
peak4074,94,103
peak4075,82,87
peak4076,82,109
peak4077,14,69
peak4078,67,136
peak4079,30,52
peak4080,29,15
peak4081,65,40
peak4082,85,138
peak4083,47,53
peak4084,28,16
peak4085,86,154
peak4086,0,16
peak4087,119,158
peak4088,17,23
peak4089,26,40
peak4090,31,27
peak4091,61,56
peak4092,166,131
peak4093,105,104
peak4094,79,40
peak4095,8,19
peak4096,17,64
peak4097,2,15
peak4098,149,176
peak4099,50,152
peak4100,249,371
peak4101,95,80
peak4102,60,83
peak4103,60,151
peak4104,73,47
peak4105,94,218
peak4106,82,88
peak4107,51,40
peak4108,129,132
peak4109,56,78
peak4110,58,108
peak4111,53,50
peak4112,42,82
peak4113,184,332
peak4114,34,37
peak4115,107,144
peak4116,60,51
peak4117,89,177
peak4118,44,83
peak4119,25,23
peak4120,95,89
peak4121,89,84
peak4122,127,104
peak4123,89,143
peak4124,229,339
peak4125,294,292
peak4126,218,269
peak4127,180,347
peak4128,89,256
peak4129,181,214
peak4130,32,74
peak4131,33,41
peak4132,32,56
peak4133,40,173
peak4134,45,39
peak4135,53,16
peak4136,41,96
peak4137,27,41
peak4138,18,73
peak4139,302,371
peak4140,27,53
peak4141,100,217
peak4142,74,24
peak4143,49,83
peak4144,21,35
peak4145,329,503
peak4146,20,63
peak4147,96,114
peak4148,289,509
peak4149,179,457
peak4150,85,243
peak4151,143,187
peak4152,156,269
peak4153,31,114
peak4154,11,4
peak4155,44,19
peak4156,20,77
peak4157,22,42
peak4158,7,59
peak4159,91,69
peak4160,134,183
peak4161,145,373
peak4162,184,336
peak4163,130,198
peak4164,176,327
peak4165,26,53
peak4166,125,190
peak4167,25,33
peak4168,4,37
peak4169,112,188
peak4170,176,362
peak4171,80,174
peak4172,133,179
peak4173,126,229
peak4174,197,311
peak4175,11,48
peak4176,276,377
peak4177,2,21
peak4178,167,159
peak4179,21,48
peak4180,112,252
peak4181,12,31
peak4182,8,27
peak4183,17,26
peak4184,6,24
peak4185,0,5
peak4186,39,34
peak4187,133,121
peak4188,7,13
peak4189,0,3
peak4190,1,1
peak4191,16,7
peak4192,1,4
peak4193,2,2
peak4194,4,0
peak4195,7,0
peak4196,5,0
peak4197,4,9
peak4198,0,5
peak4199,11,8
peak4200,5,14
peak4201,4,4
peak4202,21,35
peak4203,2,8
peak4204,5,11
peak4205,4,4
peak4206,16,13
peak4207,2,4
peak4208,14,11
peak4209,2,5
peak4210,1,3
peak4211,0,5
peak4212,3,4
peak4213,2,0
peak4214,5,0
peak4215,2,1
peak4216,2,2
peak4217,2,7
peak4218,4,4
peak4219,1,3
peak4220,4,3
peak4221,0,7
peak4222,5,2
peak4223,4,4
peak4224,2,2
peak4225,2,2
peak4226,14,5
peak4227,2,1
peak4228,5,14
peak4229,11,6
peak4230,16,20
peak4231,10,6
peak4232,1,6
peak4233,2,7
peak4234,2,5
peak4235,5,6
peak4236,1,4
peak4237,2,2
peak4238,5,3
peak4239,6,2
peak4240,3,0
peak4241,3,0
peak4242,4,2
peak4243,12,11
peak4244,1,11
peak4245,1,6
peak4246,5,2
peak4247,2,2
peak4248,2,7
peak4249,3,5
peak4250,2,2
peak4251,3,2
peak4252,2,0
peak4253,1,4
peak4254,2,3
peak4255,2,7
peak4256,0,9
peak4257,4,10
peak4258,1,5
peak4259,1,1
peak4260,4,0
peak4261,4,6
peak4262,3,3
peak4263,2,5
peak4264,1,3
peak4265,2,5
peak4266,4,1
peak4267,8,13
peak4268,7,0
peak4269,1,5
peak4270,4,3
peak4271,19,13
peak4272,2,9
peak4273,0,2
peak4274,2,0
peak4275,5,2
peak4276,5,3
peak4277,27,21
peak4278,2,7
peak4279,7,8
peak4280,10,12
peak4281,10,5
peak4282,2,2
peak4283,6,0
peak4284,4,4
peak4285,2,3
peak4286,5,0
peak4287,4,1
peak4288,6,3
peak4289,2,1
peak4290,5,0
peak4291,6,0
peak4292,7,0
peak4293,2,0
peak4294,8,3
peak4295,4,6
peak4296,7,3
peak4297,3,0
peak4298,3,1
peak4299,6,4
peak4300,2,6
peak4301,7,7
peak4302,1,5
peak4303,2,4
peak4304,3,1
peak4305,0,4
peak4306,1,4
peak4307,7,5
peak4308,4,0
peak4309,0,4
peak4310,0,6
peak4311,1,4
peak4312,4,1
peak4313,2,1
peak4314,0,0
peak4315,2,1
peak4316,0,8
peak4317,1,3
peak4318,2,17
peak4319,4,8
peak4320,1,1
peak4321,4,20
peak4322,14,8
peak4323,5,16
peak4324,14,18
peak4325,2,0
peak4326,19,22
peak4327,9,9
peak4328,3,1
peak4329,2,1
peak4330,6,1
peak4331,3,8
peak4332,5,9
peak4333,4,4
peak4334,6,2
peak4335,19,6
peak4336,6,0
peak4337,2,4
peak4338,3,0
peak4339,12,11
peak4340,20,12
peak4341,2,23
peak4342,21,4
peak4343,28,70
peak4344,31,58
peak4345,6,22
peak4346,10,2
peak4347,66,101
peak4348,8,40
peak4349,7,27
peak4350,52,182
peak4351,10,9
peak4352,54,102
peak4353,28,73
peak4354,17,43
peak4355,6,30
peak4356,96,71
peak4357,153,258
peak4358,157,133
peak4359,159,240
peak4360,85,185
peak4361,96,95
peak4362,30,108
peak4363,132,174
peak4364,63,51
peak4365,79,144
peak4366,107,175
peak4367,76,98
peak4368,58,48
peak4369,86,173
peak4370,174,300
peak4371,237,335
peak4372,97,153
peak4373,14,7
peak4374,74,185
peak4375,30,39
peak4376,153,202
peak4377,64,72
peak4378,18,58
peak4379,44,111
peak4380,43,49
peak4381,55,68
peak4382,44,78
peak4383,4,14
peak4384,11,22
peak4385,0,6
peak4386,0,23
peak4387,15,53
peak4388,16,78
peak4389,96,112
peak4390,182,164
peak4391,134,140
peak4392,35,56
peak4393,36,39
peak4394,41,45
peak4395,103,178
peak4396,24,13
peak4397,62,103
peak4398,49,62
peak4399,141,200
peak4400,80,108
peak4401,121,114
peak4402,92,175
peak4403,78,57
peak4404,46,70
peak4405,174,165
peak4406,121,249
peak4407,28,41
peak4408,22,20
peak4409,73,173
peak4410,20,59
peak4411,190,285
peak4412,64,77
peak4413,80,122
peak4414,180,290
peak4415,33,28
peak4416,59,104
peak4417,24,61
peak4418,60,99
peak4419,55,89
peak4420,52,76
peak4421,151,284
peak4422,48,67
peak4423,52,68
peak4424,85,67
peak4425,9,22
peak4426,45,70
peak4427,67,87
peak4428,54,54
peak4429,139,221
peak4430,22,7
peak4431,63,46
peak4432,146,259
peak4433,13,41
peak4434,42,52
peak4435,95,182
peak4436,57,65
peak4437,52,117
peak4438,83,89
peak4439,17,21
peak4440,0,17
peak4441,45,33
peak4442,199,101
peak4443,41,38
peak4444,22,19
peak4445,141,249
peak4446,90,135
peak4447,34,100
peak4448,161,205
peak4449,93,142
peak4450,8,47
peak4451,134,149
peak4452,43,26
peak4453,22,73
peak4454,39,70
peak4455,94,135
peak4456,21,30
peak4457,51,62
peak4458,130,250
peak4459,136,216
peak4460,33,51
peak4461,65,79
peak4462,79,150
peak4463,76,108
peak4464,156,212
peak4465,106,130
peak4466,274,400
peak4467,59,66
peak4468,73,87
peak4469,7,6
peak4470,11,18
peak4471,8,4
peak4472,14,5
peak4473,26,32
peak4474,99,121
peak4475,75,116
peak4476,145,153
peak4477,146,137
peak4478,75,40
peak4479,90,105
peak4480,10,75
peak4481,357,462
peak4482,14,35
peak4483,131,151
peak4484,12,89
peak4485,16,55
peak4486,4,24
peak4487,14,1
peak4488,0,10
peak4489,18,4
peak4490,81,94
peak4491,74,144
peak4492,65,65
peak4493,8,18
peak4494,33,36
peak4495,15,10
peak4496,16,16
peak4497,46,172
peak4498,167,258
peak4499,72,82
peak4500,92,135
peak4501,211,246
peak4502,52,48
peak4503,233,322
peak4504,6,42
peak4505,13,74
peak4506,82,92
peak4507,81,44
peak4508,55,56
peak4509,273,363
peak4510,54,56
peak4511,32,23
peak4512,84,96
peak4513,62,72
peak4514,54,42
peak4515,50,48
peak4516,62,80
peak4517,7,1
peak4518,12,10
peak4519,14,5
peak4520,211,261
peak4521,117,97
peak4522,30,12
peak4523,10,7
peak4524,50,29
peak4525,160,110
peak4526,180,209
peak4527,89,121
peak4528,210,274
peak4529,570,476
peak4530,160,211
peak4531,129,182
peak4532,52,85
peak4533,5,20
peak4534,42,29
peak4535,35,28
peak4536,52,100
peak4537,43,105
peak4538,198,289
peak4539,20,29
peak4540,84,162
peak4541,28,38
peak4542,34,59
peak4543,41,40
peak4544,177,89
peak4545,39,26
peak4546,73,128
peak4547,132,133
peak4548,80,121
peak4549,33,53
peak4550,210,221
peak4551,120,274
peak4552,110,75
peak4553,77,77
peak4554,41,59
peak4555,55,15
peak4556,4,39
peak4557,170,133
peak4558,54,68
peak4559,21,20
peak4560,28,40
peak4561,112,138
peak4562,104,112
peak4563,112,116
peak4564,44,42
peak4565,60,86
peak4566,13,16
peak4567,12,15
peak4568,87,109
peak4569,1,43
peak4570,121,261
peak4571,136,237
peak4572,7,22
peak4573,38,110
peak4574,61,86
peak4575,26,15
peak4576,38,102
peak4577,51,71
peak4578,103,132
peak4579,13,10
peak4580,56,31
peak4581,35,44
peak4582,28,56
peak4583,85,50
peak4584,60,83
peak4585,29,26
peak4586,38,99
peak4587,141,150
peak4588,115,91
peak4589,71,104
peak4590,69,100
peak4591,78,111
peak4592,108,135
peak4593,81,112
peak4594,70,124
peak4595,192,252
peak4596,12,21
peak4597,11,29
peak4598,4,28
peak4599,60,66
peak4600,173,245
peak4601,40,46
peak4602,45,75
peak4603,16,18
peak4604,227,187
peak4605,59,23
peak4606,111,254
peak4607,66,84
peak4608,24,43
peak4609,29,105
peak4610,9,9
peak4611,142,82
peak4612,53,88
peak4613,40,30
peak4614,2,58
peak4615,78,205
peak4616,100,182
peak4617,42,84
peak4618,67,57
peak4619,94,155
peak4620,2,76
peak4621,160,190
peak4622,33,35
peak4623,29,63
peak4624,36,29
peak4625,86,57
peak4626,30,48
peak4627,53,83
peak4628,34,9
peak4629,20,9
peak4630,76,106
peak4631,76,127
peak4632,138,199
peak4633,84,129
peak4634,120,196
peak4635,35,65
peak4636,10,38
peak4637,6,36
peak4638,86,160
peak4639,37,19
peak4640,50,59
peak4641,14,48
peak4642,174,189
peak4643,42,86
peak4644,46,64
peak4645,42,52
peak4646,81,98
peak4647,53,73
peak4648,230,457
peak4649,70,54
peak4650,116,174
peak4651,51,116
peak4652,15,5
peak4653,49,46
peak4654,44,17
peak4655,25,48
peak4656,32,38
peak4657,50,111
peak4658,114,89
peak4659,88,145
peak4660,150,336
peak4661,25,11
peak4662,16,11
peak4663,102,72
peak4664,11,25
peak4665,20,11
peak4666,1,22
peak4667,23,70
peak4668,58,61
peak4669,65,117
peak4670,59,36
peak4671,101,81
peak4672,57,57
peak4673,122,145
peak4674,432,512
peak4675,40,98
peak4676,265,367
peak4677,26,8
peak4678,145,169
peak4679,112,27
peak4680,113,69
peak4681,232,487
peak4682,40,95
peak4683,18,7
peak4684,7,22
peak4685,96,98
peak4686,97,205
peak4687,46,85
peak4688,31,37
peak4689,20,71
peak4690,38,73
peak4691,36,58
peak4692,24,64
peak4693,114,160
peak4694,139,197
peak4695,18,27
peak4696,104,115
peak4697,46,41
peak4698,44,11
peak4699,94,165
peak4700,19,17
peak4701,30,22
peak4702,94,114
peak4703,80,94
peak4704,16,39
peak4705,104,194
peak4706,181,338
peak4707,52,87
peak4708,76,37
peak4709,188,308
peak4710,107,30
peak4711,26,19
peak4712,28,19
peak4713,51,78
peak4714,165,206
peak4715,56,85
peak4716,100,231
peak4717,11,14
peak4718,81,126
peak4719,113,64
peak4720,51,79
peak4721,124,116
peak4722,115,113
peak4723,200,179
peak4724,28,72
peak4725,144,139
peak4726,366,588
peak4727,95,38
peak4728,174,129
peak4729,194,152
peak4730,53,106
peak4731,9,46
peak4732,126,205
peak4733,27,68
peak4734,22,16
