peak_id,SRR5800657,SRR5800660
peak396,11,18
peak397,274,103
peak398,383,367
peak399,32,69
peak400,25,68
peak401,25,31
peak402,6,19
peak403,124,88
peak404,112,97
peak405,92,162
peak406,78,142
peak407,30,24
peak408,156,247
peak409,20,8
peak410,113,125
peak411,13,45
peak412,25,63
peak413,29,10
peak414,116,145
peak415,151,125
peak416,82,113
peak417,86,55
peak418,157,192
peak419,124,129
peak420,45,120
peak421,27,85
peak422,39,54
peak423,17,2
peak424,15,9
peak425,6,27
peak426,2,41
peak427,14,25
peak428,10,64
peak429,0,16
peak430,20,7
peak431,31,58
peak432,0,20
peak433,122,228
peak434,24,3
peak435,29,24
peak436,50,73
peak437,18,9
peak438,21,78
peak439,180,151
peak440,32,46
peak441,91,86
peak442,96,98
peak443,143,107
peak444,122,235
peak445,48,20
peak446,156,237
peak447,159,176
peak448,30,41
peak449,32,27
peak450,152,235
peak451,13,47
peak452,23,17
peak453,18,55
peak454,108,164
peak455,21,67
peak456,44,67
peak457,79,74
peak458,44,88
peak459,54,10
peak460,117,134
peak461,197,245
peak462,1,22
peak463,105,78
peak464,67,182
peak465,4,9
peak466,12,2
peak467,36,54
peak468,28,114
peak469,30,119
peak470,24,74
peak471,27,21
peak472,10,47
peak473,13,15
peak474,10,19
peak475,3,41
peak476,15,75
peak477,27,7
peak478,9,23
peak479,46,45
peak480,199,215
peak481,84,130
peak482,168,188
peak483,33,50
peak484,4,38
peak485,25,25
peak486,2,23
peak487,2,23
peak488,109,223
peak489,3,42
peak490,72,183
peak491,18,134
peak492,21,72
peak493,6,16
peak494,55,71
peak495,10,26
peak496,11,20
peak497,4,14
peak498,19,41
peak499,18,32
peak500,28,20
peak501,16,2
peak502,38,126
peak503,35,10
peak504,11,25
peak505,18,62
peak506,9,19
peak507,11721,6367
peak508,35,117
peak509,31,39
peak510,66,44
peak511,28,48
peak512,30,6
peak513,2,17
peak514,37,72
peak515,10,2
peak516,12,0
peak517,4,24
peak518,73,151
peak519,105,128
peak520,48,231
peak521,52,109
peak522,48,114
peak523,8,111
peak524,38,146
peak525,366,310
peak526,24,25
peak527,5,22
peak528,39,72
peak529,78,129
peak530,6,43
peak531,20,19
peak532,12,1
peak533,28,43
peak534,10,26
peak535,48,73
peak536,198,279
peak537,272,245
peak538,59,77
peak539,17,45
peak540,186,260
peak541,144,231
peak542,99,146
peak543,6,28
peak544,10,20
peak545,116,224
peak546,38,54
peak547,48,47
peak548,66,143
peak549,8,26
peak550,25,181
peak551,15,34
peak552,40,49
peak553,98,83
peak554,162,140
peak555,13,46
peak556,15,23
peak557,50,13
peak558,186,274
peak559,46,16
peak560,7,115
peak561,78,125
peak562,35,75
peak563,68,119
peak564,175,119
peak565,95,40
peak566,436,561
peak567,91,76
peak568,49,12
peak569,364,664
peak570,184,214
peak571,122,91
peak572,233,245
peak573,631,594
peak574,119,82
peak575,86,71
peak576,25,99
peak577,41,185
peak578,166,200
peak579,105,122
peak580,41,100
peak581,153,123
peak582,200,269
peak583,84,156
peak584,18,10
peak585,195,238
peak586,9,58
peak587,4,36
peak588,4,20
peak589,220,296
peak590,142,114
peak591,347,500
peak592,22,63
peak593,65,62
peak594,75,136
peak595,95,190
peak596,46,107
peak597,124,148
peak598,212,284
peak599,278,283
peak600,225,334
peak601,350,397
peak602,155,384
peak603,26,55
peak604,91,206
peak605,107,170
peak606,2,14
peak607,30,117
peak608,61,120
peak609,59,81
peak610,2,31
peak611,2,30
peak612,12,3
peak613,0,36
peak614,8,37
peak615,59,213
peak616,13,26
peak617,3,38
peak618,3,11
peak619,8,3
peak620,12,30
peak621,6,18
peak622,5,19
peak623,10,4
peak624,16,55
peak625,2,13
peak626,2,18
peak627,0,27
peak628,12,6
peak629,29,128
peak630,2,9
peak631,25,89
peak632,247,257
peak633,276,401
peak634,171,319
peak635,113,156
peak636,285,355
peak637,46,93
peak638,264,461
peak639,59,98
peak640,93,87
peak641,188,299
peak642,139,251
peak643,20,62
peak644,66,93
peak645,55,79
peak646,123,60
peak647,91,86
peak648,202,312
peak649,19,12
peak650,142,131
peak651,37,43
peak652,17,7
peak653,132,224
peak654,4,35
peak655,11,79
peak656,18,47
peak657,51,58
peak658,151,226
peak659,27,69
peak660,3,11
peak661,38,77
peak662,28,99
peak663,172,408
peak664,22,42
peak665,33,93
peak666,58,59
peak667,60,55
peak668,11,60
peak669,18,112
peak670,458,478
peak671,147,59
peak672,89,100
peak673,158,146
peak674,329,194
peak675,9,3
peak676,41,74
peak677,185,331
peak678,49,79
peak679,69,110
peak680,208,238
peak681,26,22
peak682,303,448
peak683,222,232
peak684,1,23
peak685,35,61
peak686,40,45
peak687,72,180
peak688,53,100
peak689,102,43
peak690,132,217
peak691,94,133
peak692,49,113
peak693,74,149
peak694,91,40
peak695,439,794
peak696,80,94
peak697,2,29
peak698,26,29
peak699,144,256
peak700,7,30
peak701,61,106
peak702,8,52
peak703,153,187
peak704,93,134
peak705,69,62
peak706,26,44
peak707,221,424
peak708,25,50
peak709,85,63
peak710,17,114
peak711,362,421
peak712,184,222
peak713,143,47
peak714,111,172
peak715,13,47
peak716,14,38
peak717,5,21
peak718,6,53
peak719,1,34
peak720,30,76
peak721,13,3
peak722,55,61
peak723,1,61
peak724,16,127
peak725,5,32
peak726,5,32
peak727,11,12
peak728,4,5
peak729,14,23
peak730,7,14
peak731,4,0
peak732,12,10
peak733,25,55
peak734,2,13
peak735,3,1
peak736,4,8
peak737,5,1
peak738,6,12
peak739,26,38
peak740,4,1
peak741,1,10
peak742,3,3
peak743,3,8
peak744,9,9
peak745,2,7
peak746,15,23
peak747,18,23
peak748,24,10
peak749,27,31
peak750,1,4
peak751,1,5
peak752,3,3
peak753,0,2
peak754,6,7
peak755,3,3
peak756,4,0
peak757,8,7
peak758,7,15
peak759,3,1
peak760,3,3
peak761,2,13
peak762,10,18
peak763,11,14
peak764,7,6
peak765,3,13
peak766,2,7
peak767,3,9
peak768,4,0
peak769,2,6
peak770,14,18
peak771,14,4
peak772,6,26
peak773,1,5
peak774,2,2
peak775,8,15
peak776,2,6
peak777,0,13
peak778,1,4
peak779,1,5
peak780,2,15
peak781,4,19
peak782,7,20
peak783,2,12
peak784,7,9
peak785,2,3
peak786,11,17
peak787,0,14
peak788,19,46
peak789,5,9
peak790,3,2
peak791,4,9
peak792,3,1
peak793,3,1
peak794,1,8
peak795,12,11
peak796,0,10
peak797,4,1
peak798,1,4
peak799,5,4
peak800,2,9
peak801,1,1
peak802,5,1
peak803,3,15
peak804,0,8
peak805,1,1
peak806,8,11
peak807,1,9
peak808,6,21
peak809,1,5
peak810,11,14
peak811,6,4
peak812,2,5
peak813,3,1
peak814,1,0
peak815,8,4
peak816,4,11
peak817,0,6
peak818,2,5
peak819,0,4
peak820,10,32
peak821,12,12
peak822,3,10
peak823,4,11
peak824,7,4
peak825,2,10
peak826,3,2
peak827,16,8
peak828,7,8
peak829,1,7
peak830,13,12
peak831,1,2
peak832,7,16
peak833,2,3
peak834,4,1
peak835,6,6
peak836,9,8
peak837,5,6
peak838,4,4
peak839,2,8
peak840,9,7
peak841,18,24
peak842,5,7
peak843,6,4
peak844,1,6
peak845,14,27
peak846,2,13
peak847,8,3
peak848,4,17
peak849,3,3
peak850,3,5
peak851,9,1
peak852,9,20
peak853,4,4
peak854,6,5
peak855,3,8
peak856,2,10
peak857,0,4
peak858,7,7
peak859,2,11
peak860,4,9
peak861,8,8
peak862,19,24
peak863,2,7
peak864,4,10
peak865,4,5
peak866,3,12
peak867,0,8
peak868,1,6
peak869,1,4
peak870,9,5
peak871,11,29
peak872,4,17
peak873,0,2
peak874,4,17
peak875,2,8
peak876,8,3
peak877,6,3
peak878,5,31
peak879,13,15
peak880,5,16
peak881,9,18
peak882,2,1
peak883,8,9
peak884,5,2
peak885,5,5
peak886,4,3
peak887,2,0
peak888,1,23
peak889,1,0
peak890,1,13
peak891,3,4
peak892,4,12
peak893,6,7
peak894,5,8
peak895,6,7
peak896,4,8
peak897,3,5
peak898,3,21
peak899,8,6
peak900,14,21
peak901,1,2
peak902,6,22
peak903,8,5
peak904,2,8
peak905,4,6
peak906,8,7
peak907,1,8
peak908,2,10
peak909,1,9
peak910,6,12
peak911,12,20
peak912,3,7
peak913,3,4
peak914,7,2
peak915,3,2
peak916,0,7
peak917,0,18
peak918,13,7
peak919,7,26
peak920,161,229
peak921,239,309
peak922,219,294
peak923,250,318
peak924,986,1121
peak925,23,18
peak926,26,22
peak927,366,426
peak928,495,574
peak929,1723,2046
peak930,306,363
peak931,49,65
peak932,58,56
peak933,89,85
peak934,42,26
peak935,7,22
peak936,677,849
peak937,18,18
peak938,48,47
peak939,85,116
peak940,123,179
peak941,1139,1364
peak942,358,449
peak943,250,291
peak944,4,9
peak945,45,77
peak946,7,25
peak947,142,295
peak948,22,96
peak949,34,67
peak950,155,350
peak951,150,132
peak952,48,52
peak953,57,51
peak954,42,140
peak955,108,126
peak956,69,163
peak957,129,160
peak958,34,63
peak959,256,182
peak960,109,144
peak961,3,34
peak962,2,17
peak963,75,135
peak964,26,13
peak965,52,90
peak966,26,39
peak967,20,35
peak968,37,145
peak969,30,64
peak970,17,21
peak971,138,178
peak972,11,84
peak973,55,90
peak974,1,13
peak975,27,56
peak976,119,205
peak977,66,70
peak978,275,144
peak979,92,93
peak980,215,328
peak981,4,32
peak982,55,23
peak983,108,129
peak984,133,92
peak985,77,87
peak986,48,76
peak987,49,202
peak988,53,56
peak989,29,44
peak990,171,284
peak991,40,70
peak992,92,43
peak993,57,77
peak994,146,259
peak995,105,105
peak996,69,60
peak997,37,13
peak998,46,37
peak999,110,138
peak1000,26,65
peak1001,16,43
peak1002,12,44
peak1003,176,205
peak1004,3,13
peak1005,7,6
peak1006,20,46
peak1007,1,25
peak1008,49,113
peak1009,83,132
peak1010,9,30
peak1011,111,230
peak1012,39,80
peak1013,37,55
peak1014,186,310
peak1015,21,48
peak1016,66,76
peak1017,172,190
peak1018,120,96
peak1019,43,38
peak1020,38,48
peak1021,22,47
peak1022,29,7
peak1023,41,84
peak1024,58,83
peak1025,106,170
peak1026,31,17
peak1027,80,76
peak1028,51,79
peak1029,47,55
peak1030,91,126
peak1031,28,38
peak1032,37,126
peak1033,84,157
peak1034,13,28
peak1035,76,114
peak1036,20,89
peak1037,5,36
peak1038,126,245
peak1039,53,66
peak1040,37,30
peak1041,15,13
peak1042,25,25
peak1043,57,116
peak1044,13,19
peak1045,331,375
peak1046,119,138
peak1047,79,119
peak1048,38,16
peak1049,44,40
peak1050,51,77
peak1051,50,58
peak1052,85,107
peak1053,109,161
peak1054,83,156
peak1055,16,30
peak1056,60,28
peak1057,69,124
peak1058,10,33
peak1059,54,69
peak1060,33,67
peak1061,84,112
peak1062,88,102
peak1063,45,40
peak1064,68,113
peak1065,4,18
peak1066,18,24
peak1067,10,26
peak1068,129,130
peak1069,16,59
peak1070,22,55
peak1071,6,24
peak1072,83,201
peak1073,77,96
peak1074,87,15
peak1075,0,30
peak1076,17,33
peak1077,1,16
peak1078,19,40
peak1079,38,79
peak1080,4,18
peak1081,12,4
peak1082,25,35
peak1083,11,33
peak1084,8,51
peak1085,21,45
peak1086,5,2
peak1087,5,42
peak1088,13,1
peak1089,87,110
peak1090,44,42
peak1091,50,113
peak1092,23,34
peak1093,58,31
peak1094,77,264
peak1095,10,22
peak1096,28,57
peak1097,37,79
peak1098,45,118
peak1099,1,61
peak1100,5,19
peak1101,6,36
peak1102,4,29
peak1103,14,3
peak1104,3,19
peak1105,16,46
peak1106,8,47
peak1107,2,29
peak1108,4,29
peak1109,66,75
peak1110,7,112
peak1111,145,123
peak1112,13,20
peak1113,44,18
peak1114,119,175
peak1115,6,22
peak1116,119,75
peak1117,130,123
peak1118,66,92
peak1119,15,165
peak1120,17,7
peak1121,71,94
peak1122,12,2
peak1123,31,37
peak1124,36,46
peak1125,0,43
peak1126,10,20
peak1127,19,11
peak1128,60,63
peak1129,132,155
peak1130,114,90
peak1131,69,2
peak1132,33,31
peak1133,61,41
peak1134,60,39
peak1135,190,195
peak1136,26,27
peak1137,157,161
peak1138,7,42
peak1139,65,27
peak1140,53,61
peak1141,94,49
peak1142,45,50
peak1143,123,128
peak1144,136,44
peak1145,84,179
peak1146,53,48
peak1147,233,266
peak1148,162,133
peak1149,78,50
peak1150,122,106
peak1151,59,50
peak1152,62,159
peak1153,30,144
peak1154,177,149
peak1155,48,54
peak1156,22,37
peak1157,6,51
peak1158,71,80
peak1159,29,38
peak1160,14,11
peak1161,72,145
peak1162,146,137
peak1163,222,316
peak1164,29,42
peak1165,31,66
peak1166,41,110
peak1167,169,230
peak1168,12,35
peak1169,11,33
peak1170,64,97
peak1171,123,141
peak1172,180,112
peak1173,78,43
peak1174,58,43
peak1175,73,54
peak1176,44,41
peak1177,109,98
peak1178,61,46
peak1179,64,83
peak1180,27,19
peak1181,2,28
peak1182,43,25
peak1183,181,179
peak1184,67,84
peak1185,30,22
peak1186,165,174
peak1187,27,8
peak1188,47,192
peak1189,132,180
peak1190,51,43
peak1191,81,91
peak1192,75,95
peak1193,87,96
peak1194,177,194
peak1195,57,73
peak1196,58,70
peak1197,11,26
peak1198,110,107
peak1199,32,57
peak1200,79,92
peak1201,94,112
peak1202,110,244
peak1203,126,179
peak1204,67,115
peak1205,39,93
peak1206,33,28
peak1207,45,26
peak1208,48,45
peak1209,43,83
peak1210,0,27
peak1211,29,8
peak1212,52,74
peak1213,178,237
peak1214,26,49
peak1215,59,49
peak1216,73,94
peak1217,100,124
peak1218,28,6
peak1219,36,38
peak1220,35,20
peak1221,51,140
peak1222,67,90
peak1223,38,45
peak1224,30,9
peak1225,94,131
peak1226,127,120
peak1227,108,122
peak1228,126,174
peak1229,13,27
peak1230,61,61
peak1231,156,170
peak1232,13,73
peak1233,45,115
peak1234,192,195
peak1235,21,34
peak1236,1,12
peak1237,26,77
peak1238,70,65
peak1239,117,61
peak1240,111,114
peak1241,316,296
peak1242,124,141
peak1243,122,112
peak1244,67,132
peak1245,51,55
peak1246,13,23
peak1247,103,59
peak1248,48,99
peak1249,47,93
peak1250,10,89
peak1251,4,70
peak1252,12,34
peak1253,7,38
peak1254,92,124
peak1255,8,127
peak1256,59,52
peak1257,41,88
peak1258,10,40
peak1259,187,217
peak1260,112,45
peak1261,57,42
peak1262,2,43
peak1263,128,51
peak1264,320,265
peak1265,87,122
peak1266,8,24
peak1267,224,124
peak1268,59,30
peak1269,4,11
peak1270,60,78
peak1271,76,103
peak1272,2,45
peak1273,9,3
peak1274,3,1
peak1275,114,99
peak1276,62,69
peak1277,113,87
peak1278,69,91
peak1279,218,224
peak1280,57,9
peak1281,86,107
peak1282,4,3
peak1283,25,43
peak1284,89,28
peak1285,65,75
peak1286,28,40
peak1287,52,66
peak1288,64,57
peak1289,56,56
peak1290,159,108
peak1291,22,51
peak1292,51,64
peak1293,40,116
peak1294,76,101
peak1295,71,66
peak1296,268,158
peak1297,40,9
peak1298,121,113
peak1299,21,46
peak1300,46,65
peak1301,72,51
peak1302,21,36
peak1303,74,15
peak1304,166,200
peak1305,39,17
peak1306,149,170
peak1307,142,228
peak1308,57,41
peak1309,118,175
peak1310,100,121
peak1311,66,88
peak1312,49,135
peak1313,32,20
peak1314,22,9
peak1315,13,36
peak1316,23,25
peak1317,129,70
peak1318,67,56
peak1319,43,73
peak1320,49,106
peak1321,59,104
peak1322,115,122
peak1323,65,47
peak1324,53,80
peak1325,19,40
peak1326,49,92
peak1327,50,76
peak1328,56,26
peak1329,269,124
peak1330,102,84
peak1331,92,57
peak1332,85,92
peak1333,35,45
peak1334,87,151
peak1335,96,66
peak1336,247,304
peak1337,219,250
peak1338,81,91
peak1339,148,109
peak1340,33,29
peak1341,81,125
peak1342,4,28
peak1343,13,4
peak1344,35,40
peak1345,32,110
peak1346,7,1
peak1347,35,79
peak1348,0,22
peak1349,118,134
peak1350,21,72
peak1351,50,53
peak1352,7,44
peak1353,58,55
peak1354,47,117
peak1355,127,131
peak1356,24,64
peak1357,2,35
peak1358,0,38
peak1359,28,0
peak1360,59,83
peak1361,38,42
peak1362,86,59
peak1363,45,45
peak1364,62,97
peak1365,83,73
peak1366,39,53
peak1367,165,171
peak1368,122,93
peak1369,7,24
peak1370,26,21
peak1371,31,75
peak1372,234,279
peak1373,69,43
peak1374,10,46
peak1375,26,45
peak1376,53,21
peak1377,47,20
peak1378,77,100
peak1379,2,21
peak1380,21,14
peak1381,75,35
peak1382,141,58
peak1383,84,139
peak1384,9,43
peak1385,156,99
peak1386,20,8
peak1387,34,41
peak1388,74,97
peak1389,5,24
peak1390,39,45
peak1391,21,78
peak1392,47,131
peak1393,44,110
peak1394,3,25
peak1395,5,32
peak1396,23,34
peak1397,54,53
peak1398,36,63
peak1399,28,15
peak1400,110,162
peak1401,58,78
peak1402,39,45
peak1403,52,86
peak1404,64,129
peak1405,18,50
peak1406,48,65
peak1407,30,28
peak1408,27,33
peak1409,4,32
peak1410,25,26
peak1411,27,43
peak1412,166,181
peak1413,38,86
peak1414,0,16
peak1415,36,95
peak1416,53,66
peak1417,9,6
peak1418,3,20
peak1419,4,4
peak1420,2,8
peak1421,17,70
peak1422,5,4
peak1423,7,13
peak1424,4,3
peak1425,17,31
peak1426,1,13
peak1427,6,3
peak1428,5,3
peak1429,10,19
peak1430,5,10
peak1431,7,10
peak1432,0,7
peak1433,8,6
peak1434,3,13
peak1435,10,17
peak1436,5,4
peak1437,8,6
peak1438,3,13
peak1439,0,6
peak1440,5,5
peak1441,10,18
peak1442,14,32
peak1443,3,0
peak1444,0,1
peak1445,19,39
peak1446,8,23
peak1447,4,15
peak1448,2,4
peak1449,1,1
peak1450,7,12
peak1451,3,6
peak1452,26,47
peak1453,6,9
peak1454,5,8
peak1455,7,18
peak1456,5,11
peak1457,0,6
peak1458,11,13
peak1459,11,12
peak1460,4,28
peak1461,1,9
peak1462,10,11
peak1463,8,38
peak1464,9,3
peak1465,14,15
peak1466,14,16
peak1467,7,8
peak1468,37,40
peak1469,6,8
peak1470,6,16
peak1471,2,27
peak1472,16,7
peak1473,2,11
peak1474,19,21
peak1475,6,18
peak1476,8,9
peak1477,3,8
peak1478,1,0
peak1479,1,16
peak1480,2,1
peak1481,3,8
peak1482,4,8
peak1483,1,2
peak1484,4,22
peak1485,6,2
peak1486,1,1
peak1487,0,6
peak1488,1,9
peak1489,2,15
peak1490,0,2
peak1491,2,14
peak1492,2,5
peak1493,0,11
peak1494,6,29
peak1495,0,7
peak1496,1152,1299
peak1497,25,31
peak1498,86,87
peak1499,12,13
peak1500,319,399
peak1501,27,30
peak1502,31,48
peak1503,633,773
peak1504,1002,1306
peak1505,52,48
peak1506,443,590
peak1507,42,71
peak1508,341,403
peak1509,13,16
peak1510,4,15
peak1511,433,548
peak1512,477,600
peak1513,23,25
peak1514,552,715
peak1515,13,18
peak1516,13,9
peak1517,9,5
peak1518,14,4
peak1519,14,10
peak1520,5,15
peak1521,87,143
peak1522,0,22
peak1523,76,121
peak1524,48,205
peak1525,2,13
peak1526,430,607
peak1527,61,22
peak1528,23,29
peak1529,22,12
peak1530,100,151
peak1531,2,30
peak1532,22,20
peak1533,6,20
peak1534,7,16
peak1535,65,112
peak1536,4,48
peak1537,3,21
peak1538,15,52
peak1539,17,36
peak1540,2,28
peak1541,5,36
peak1542,41,59
peak1543,15,47
peak1544,17,58
peak1545,33,62
peak1546,11,35
peak1547,18,186
peak1548,1,17
peak1549,6,11
peak1550,7,28
peak1551,16,69
peak1552,219,229
peak1553,32,66
peak1554,46,80
peak1555,236,301
peak1556,66,101
peak1557,20,71
peak1558,97,106
peak1559,77,98
peak1560,155,269
peak1561,19,59
peak1562,30,21
peak1563,268,228
peak1564,59,67
peak1565,21,29
peak1566,30,70
peak1567,211,151
peak1568,101,188
peak1569,74,99
peak1570,49,62
peak1571,83,106
peak1572,141,62
peak1573,56,43
peak1574,205,466
peak1575,49,15
peak1576,44,18
peak1577,15,5
peak1578,122,39
peak1579,43,44
peak1580,37,23
peak1581,104,126
peak1582,75,85
peak1583,160,85
peak1584,160,94
peak1585,80,32
peak1586,19,34
peak1587,72,79
peak1588,107,136
peak1589,116,154
peak1590,33,60
peak1591,136,218
peak1592,124,156
peak1593,154,125
peak1594,16,8
peak1595,23,22
peak1596,149,202
peak1597,114,175
peak1598,137,93
peak1599,267,331
peak1600,73,101
peak1601,89,133
peak1602,24,27
peak1603,68,33
peak1604,49,30
peak1605,25,20
peak1606,252,275
peak1607,171,100
peak1608,166,120
peak1609,68,127
peak1610,28,64
peak1611,145,77
peak1612,34,17
peak1613,10,116
peak1614,1,27
peak1615,36,117
peak1616,26,24
peak1617,36,52
peak1618,21,30
peak1619,35,37
peak1620,94,117
peak1621,55,51
peak1622,29,19
peak1623,37,44
peak1624,28,10
peak1625,20,40
peak1626,290,264
peak1627,34,143
peak1628,54,59
peak1629,83,101
peak1630,136,248
peak1631,32,26
peak1632,41,40
peak1633,30,39
peak1634,85,311
peak1635,117,33
peak1636,36,24
peak1637,59,13
peak1638,138,257
peak1639,87,160
peak1640,64,127
peak1641,140,170
peak1642,20,106
peak1643,90,137
peak1644,203,178
peak1645,197,192
peak1646,61,88
peak1647,94,92
peak1648,127,199
peak1649,139,177
peak1650,35,63
peak1651,24,27
peak1652,67,298
peak1653,220,213
peak1654,74,176
peak1655,99,70
peak1656,30,40
peak1657,134,200
peak1658,194,183
peak1659,68,137
